Exchange,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
Nasdaq,FLWS,"1-800 FLOWERS.COM, Inc.",9.28,$607.21M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
Nasdaq,SRCE,1st Source Corporation,35.34,$914.14M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
Nasdaq,VNET,"21Vianet Group, Inc.",9.37,$1.07B,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
Nasdaq,TWOU,"2U, Inc.",35.79,$1.68B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
Nasdaq,JOBS,"51job, Inc.",33.33,$1.98B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
Nasdaq,CAFD,8point3 Energy Partners LP,15.56,$1.1B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
Nasdaq,EGHT,8x8 Inc,13.48,$1.21B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
Nasdaq,AVHI,"A V Homes, Inc.",16.08,$364.44M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
Nasdaq,SHLM,"A. Schulman, Inc.",26.51,$780.17M,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
Nasdaq,AAON,"AAON, Inc.",28.99,$1.53B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
Nasdaq,ABAX,"ABAXIS, Inc.",49.5,$1.12B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
Nasdaq,ABMD,"ABIOMED, Inc.",117.43,$5.05B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
Nasdaq,ACIA,"Acacia Communications, Inc.",113.14,$4.05B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
Nasdaq,ACTG,Acacia Research Corporation,7,$352.68M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
Nasdaq,ACHC,"Acadia Healthcare Company, Inc.",51.61,$4.51B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
Nasdaq,ACAD,ACADIA Pharmaceuticals Inc.,31.59,$3.6B,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
Nasdaq,ACST,"Acasti Pharma, Inc.",1.345,$14.41M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
Nasdaq,ARAY,Accuray Incorporated,5.42,$442.13M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
Nasdaq,OILD,AccuShares S&P GSCI Crude Oil Excess Return Down Shares,23.15,$2.32M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/oild
Nasdaq,OILU,AccuShares S&P GSCI Crude Oil Excess Return Up Shares,25.25,$2.53M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/oilu
Nasdaq,VXDN,AccuShares Spot CBOE VIX Down Shares,4.42,"$567,329.10 ",n/a,n/a,n/a,http://www.nasdaq.com/symbol/vxdn
Nasdaq,VXUP,AccuShares Spot CBOE VIX Up Shares,4.3001,"$551,939.34 ",n/a,n/a,n/a,http://www.nasdaq.com/symbol/vxup
Nasdaq,ACET,Aceto Corporation,20,$592.97M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
Nasdaq,ACHN,"Achillion Pharmaceuticals, Inc.",8.12,$1.11B,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
Nasdaq,ACIW,"ACI Worldwide, Inc.",19.54,$2.29B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
Nasdaq,ACRS,"Aclaris Therapeutics, Inc.",20.86,$446.73M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
Nasdaq,ACOR,"Acorda Therapeutics, Inc.",24.27,$1.12B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
Nasdaq,ACTS,"Actions Semiconductor Co., Ltd.",2.05,$90.81M,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts
Nasdaq,ATVI,"Activision Blizzard, Inc",42.8,$31.73B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
Nasdaq,ACTA,Actua Corporation,10.59,$418.39M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
